T/1	Light/1	Pupil/3			
0	0.0000	0.0000	0.0000	0.0000	
1	0.5000	0.0000	0.0000	0.0200	
2	1.5000	0.0000	0.0000	0.0380	
3	1.0000	0.0000	0.0000	0.0542	
4	1.0000	0.0000	0.0000	0.0688	
5	1.0000	0.0000	0.0000	0.0819	
6	1.0000	0.0000	0.0000	0.0937	
7	1.0000	0.0000	0.0000	0.1043	
8	0.0000	0.0000	0.0000	0.1139	
9	0.0000	0.0000	0.0000	0.1225	
10	0.0000	0.0000	0.0000	0.1303	
11	0.0000	0.0000	0.0000	0.1372	
12	0.0000	0.0000	0.0000	0.1435	
13	0.0000	0.0000	0.0000	0.1492	
14	0.0000	0.0000	0.0000	0.1542	
15	0.0000	0.0000	0.0000	0.1596	
16	0.0000	0.0000	0.0000	0.1653	
17	0.0000	0.0000	0.0000	0.1715	
18	0.0000	0.0000	0.0000	0.1779	
19	0.0000	0.0000	0.0000	0.1845	
20	0.0000	0.0000	0.0000	0.1909	
21	0.0000	0.0000	0.0000	0.1971	
22	0.0000	0.0000	0.0000	0.2029	
23	0.0000	0.0000	0.0000	0.2082	
24	0.0000	0.0000	0.0000	0.2128	
25	0.0000	0.0000	0.0000	0.2168	
26	0.0000	0.0000	0.0000	0.2202	
27	0.0000	0.0000	0.0000	0.2231	
28	0.0000	0.0000	0.0000	0.2255	
29	0.0000	0.0000	0.0000	0.2275	
30	0.0000	0.0000	0.0000	0.2291	
31	0.0000	0.0000	0.0000	0.2304	
32	0.0000	0.0000	0.0000	0.2314	
33	0.0000	0.0000	0.0000	0.2322	
34	0.0000	0.0000	0.0000	0.2329	
35	0.0000	0.0000	0.0000	0.2335	
36	0.0000	0.0000	0.0000	0.2340	
37	0.0000	0.0000	0.0000	0.2344	
38	0.0000	0.0000	0.0000	0.2347	
39	0.0000	0.0000	0.0000	0.2351	
40	0.0000	0.0000	0.0000	0.2354	
41	0.0000	0.0000	0.0000	0.2358	
42	0.0000	0.0000	0.0000	0.2362	
43	0.0000	0.0000	0.0000	0.2366	
44	0.0000	0.0000	0.0000	0.2370	
45	0.0000	0.0000	0.0000	0.2375	
46	0.0000	0.0000	0.0000	0.2380	
47	0.0000	0.0000	0.0000	0.2386	
48	0.0000	0.0000	0.0000	0.2393	
49	0.0000	0.0000	0.0000	0.2399	
50	0.0000	0.0000	0.0000	0.2407	
51	0.0000	0.0000	0.0000	0.2414	
52	0.0000	0.0000	0.0000	0.2423	
53	0.0000	0.0000	0.0000	0.2431	
54	0.0000	0.0000	0.0000	0.2440	
55	0.0000	0.0000	0.0000	0.2450	
56	0.0000	0.0000	0.0000	0.2459	
57	0.0000	0.0000	0.0000	0.2470	
58	0.0000	0.0000	0.0000	0.2480	
59	0.0000	0.0000	0.0000	0.2491	
60	0.0000	0.0000	0.0000	0.2502	
61	0.0000	0.0000	0.0000	0.2513	
62	0.0000	0.0000	0.0000	0.2524	
63	0.0000	0.0000	0.0000	0.2536	
64	0.0000	0.0000	0.0000	0.2547	
65	0.0000	0.0000	0.0000	0.2559	
66	0.0000	0.0000	0.0000	0.2571	
67	0.0000	0.0000	0.0000	0.2583	
68	0.0000	0.0000	0.0000	0.2595	
69	0.0000	0.0000	0.0000	0.2606	
70	0.0000	0.0000	0.0000	0.2618	
71	0.0000	0.0000	0.0000	0.2630	
72	0.0000	0.0000	0.0000	0.2642	
73	0.0000	0.0000	0.0000	0.2653	
74	0.0000	0.0000	0.0000	0.2665	
75	0.0000	0.0000	0.0000	0.2676	
76	0.0000	0.0000	0.0000	0.2687	
77	0.0000	0.0000	0.0000	0.2698	
78	0.0000	0.0000	0.0000	0.2709	
79	0.0000	0.0000	0.0000	0.2720	
80	0.0000	0.0000	0.0000	0.2730	
81	0.0000	0.0000	0.0000	0.2740	
82	0.0000	0.0000	0.0000	0.2750	
83	0.0000	0.0000	0.0000	0.2760	
84	0.0000	0.0000	0.0000	0.2770	
85	0.0000	0.0000	0.0000	0.2779	
86	0.0000	0.0000	0.0000	0.2789	
87	0.0000	0.0000	0.0000	0.2797	
88	0.0000	0.0000	0.0000	0.2806	
89	0.0000	0.0000	0.0000	0.2815	
90	0.0000	0.0000	0.0000	0.2823	
91	0.0000	0.0000	0.0000	0.2831	
92	0.0000	0.0000	0.0000	0.2839	
93	0.0000	0.0000	0.0000	0.2846	
94	0.0000	0.0000	0.0000	0.2854	
95	0.0000	0.0000	0.0000	0.2861	
96	0.0000	0.0000	0.0000	0.2868	
97	0.0000	0.0000	0.0000	0.2874	
98	0.0000	0.0000	0.0000	0.2881	
99	0.0000	0.0000	0.0000	0.2887	
100	0.0000	0.0000	0.0000	0.2893	
101	0.0000	0.0000	0.0000	0.2899	
102	0.0000	0.0000	0.0000	0.2904	
103	0.0000	0.0000	0.0000	0.2910	
104	0.0000	0.0000	0.0000	0.2915	
105	0.0000	0.0000	0.0000	0.2920	
106	0.0000	0.0000	0.0000	0.2925	
107	0.0000	0.0000	0.0000	0.2929	
108	0.0000	0.0000	0.0000	0.2934	
109	0.0000	0.0000	0.0000	0.2938	
110	0.0000	0.0000	0.0000	0.2942	
111	0.0000	0.0000	0.0000	0.2946	
112	0.0000	0.0000	0.0000	0.2950	
113	0.0000	0.0000	0.0000	0.2954	
114	0.0000	0.0000	0.0000	0.2957	
115	0.0000	0.0000	0.0000	0.2960	
116	0.0000	0.0000	0.0000	0.2964	
117	0.0000	0.0000	0.0000	0.2967	
118	0.0000	0.0000	0.0000	0.2970	
119	0.0000	0.0000	0.0000	0.2972	
120	0.0000	0.0000	0.0000	0.2975	
121	0.0000	0.0000	0.0000	0.2978	
122	0.0000	0.0000	0.0000	0.2980	
123	0.0000	0.0000	0.0000	0.2983	
124	0.0000	0.0000	0.0000	0.2985	
125	0.0000	0.0000	0.0000	0.2987	
126	0.0000	0.0000	0.0000	0.2989	
127	0.0000	0.0000	0.0000	0.2991	
128	0.0000	0.0000	0.0000	0.2993	
129	0.0000	0.0000	0.0000	0.2995	
130	0.0000	0.0000	0.0000	0.2997	
131	0.0000	0.0000	0.0000	0.2998	
132	0.0000	0.0000	0.0000	0.3000	
133	0.0000	0.0000	0.0000	0.3001	
134	0.0000	0.0000	0.0000	0.3003	
135	0.0000	0.0000	0.0000	0.3004	
136	0.0000	0.0000	0.0000	0.3006	
137	0.0000	0.0000	0.0000	0.3007	
138	0.0000	0.0000	0.0000	0.3008	
139	0.0000	0.0000	0.0000	0.3009	
140	0.0000	0.0000	0.0000	0.3010	
141	0.0000	0.0000	0.0000	0.3011	
142	0.0000	0.0000	0.0000	0.3012	
143	0.0000	0.0000	0.0000	0.3013	
144	0.0000	0.0000	0.0000	0.3014	
145	0.0000	0.0000	0.0000	0.3015	
146	0.0000	0.0000	0.0000	0.3016	
147	0.0000	0.0000	0.0000	0.3017	
148	0.0000	0.0000	0.0000	0.3017	
149	0.0000	0.0000	0.0000	0.3018	
150	0.0000	0.0000	0.0000	0.3019	
151	0.0000	0.0000	0.0000	0.3019	
152	0.0000	0.0000	0.0000	0.3020	
153	0.0000	0.0000	0.0000	0.3021	
154	0.0000	0.0000	0.0000	0.3021	
155	0.0000	0.0000	0.0000	0.3022	
156	0.0000	0.0000	0.0000	0.3022	
157	0.0000	0.0000	0.0000	0.3023	
158	0.0000	0.0000	0.0000	0.3023	
