T/1	Light/1	Pupil/3			
0	0.0000	0.0000	0.0000	0.0000	
1	0.5000	0.0000	0.0000	0.0200	
2	1.5000	0.0000	0.0000	0.0380	
3	1.5000	0.0000	0.0000	0.0542	
4	1.5000	0.0000	0.0000	0.0688	
5	1.5000	0.0000	0.0000	0.0819	
6	1.5000	0.0000	0.0000	0.0937	
7	1.5000	0.0000	0.0000	0.1043	
8	0.5000	0.0000	0.0000	0.1139	
9	0.5000	0.0000	0.0000	0.1225	
10	0.5000	0.0000	0.0000	0.1303	
11	0.5000	0.0000	0.0000	0.1372	
12	0.5000	0.0000	0.0000	0.1435	
13	0.5000	0.0000	0.0000	0.1492	
14	0.5000	0.0000	0.0000	0.1542	
15	0.5000	0.0000	0.0000	0.1596	
16	0.5000	0.0000	0.0000	0.1655	
17	0.5000	0.0000	0.0000	0.1723	
18	0.5000	0.0000	0.0000	0.1798	
19	0.5000	0.0000	0.0000	0.1879	
20	0.5000	0.0000	0.0000	0.1966	
21	0.5000	0.0000	0.0000	0.2055	
22	0.5000	0.0000	0.0000	0.2145	
23	0.5000	0.0000	0.0000	0.2234	
24	0.5000	0.0000	0.0000	0.2319	
25	0.5000	0.0000	0.0000	0.2401	
26	0.5000	0.0000	0.0000	0.2477	
27	0.5000	0.0000	0.0000	0.2549	
28	0.5000	0.0000	0.0000	0.2614	
29	0.5000	0.0000	0.0000	0.2674	
30	0.5000	0.0000	0.0000	0.2729	
31	0.5000	0.0000	0.0000	0.2778	
32	0.5000	0.0000	0.0000	0.2822	
33	0.5000	0.0000	0.0000	0.2861	
34	0.5000	0.0000	0.0000	0.2896	
35	0.5000	0.0000	0.0000	0.2926	
36	0.5000	0.0000	0.0000	0.2953	
37	0.5000	0.0000	0.0000	0.2976	
38	0.5000	0.0000	0.0000	0.2996	
39	0.5000	0.0000	0.0000	0.3013	
40	0.5000	0.0000	0.0000	0.3028	
41	0.5000	0.0000	0.0000	0.3041	
42	0.5000	0.0000	0.0000	0.3051	
43	0.5000	0.0000	0.0000	0.3060	
44	0.5000	0.0000	0.0000	0.3067	
45	0.5000	0.0000	0.0000	0.3072	
46	0.5000	0.0000	0.0000	0.3077	
47	0.5000	0.0000	0.0000	0.3080	
48	0.5000	0.0000	0.0000	0.3083	
49	0.5000	0.0000	0.0000	0.3084	
50	0.5000	0.0000	0.0000	0.3085	
51	0.5000	0.0000	0.0000	0.3086	
52	0.5000	0.0000	0.0000	0.3086	
53	0.5000	0.0000	0.0000	0.3085	
54	0.5000	0.0000	0.0000	0.3085	
55	0.5000	0.0000	0.0000	0.3084	
56	0.5000	0.0000	0.0000	0.3082	
57	0.5000	0.0000	0.0000	0.3081	
58	0.5000	0.0000	0.0000	0.3079	
59	0.5000	0.0000	0.0000	0.3078	
60	0.5000	0.0000	0.0000	0.3076	
61	0.5000	0.0000	0.0000	0.3074	
62	0.5000	0.0000	0.0000	0.3072	
63	0.4697	0.0000	0.0000	0.3070	
64	0.4515	0.0000	0.0000	0.3069	
65	0.4333	0.0000	0.0000	0.3067	
66	0.3909	0.0000	0.0000	0.3065	
67	0.3182	0.0000	0.0000	0.3063	
68	0.2030	0.0000	0.0000	0.3061	
69	0.0636	0.0000	0.0000	0.3060	
70	0.0000	0.0000	0.0000	0.3058	
71	0.0000	0.0000	0.0000	0.3057	
72	0.0000	0.0000	0.0000	0.3055	
73	0.0000	0.0000	0.0000	0.3054	
74	0.0000	0.0000	0.0000	0.3052	
75	0.0000	0.0000	0.0000	0.3051	
76	0.0000	0.0000	0.0000	0.3050	
77	0.0000	0.0000	0.0000	0.3049	
78	0.0000	0.0000	0.0000	0.3048	
79	0.0000	0.0000	0.0000	0.3047	
80	0.0000	0.0000	0.0000	0.3046	
81	0.0000	0.0000	0.0000	0.3045	
82	0.0000	0.0000	0.0000	0.3044	
83	0.0000	0.0000	0.0000	0.3043	
84	0.0000	0.0000	0.0000	0.3042	
85	0.0000	0.0000	0.0000	0.3042	
86	0.0000	0.0000	0.0000	0.3041	
87	0.0000	0.0000	0.0000	0.3040	
88	0.0000	0.0000	0.0000	0.3040	
89	0.0000	0.0000	0.0000	0.3040	
90	0.0000	0.0000	0.0000	0.3040	
91	0.0000	0.0000	0.0000	0.3040	
92	0.0000	0.0000	0.0000	0.3041	
93	0.0000	0.0000	0.0000	0.3042	
94	0.0000	0.0000	0.0000	0.3044	
95	0.0000	0.0000	0.0000	0.3047	
96	0.0000	0.0000	0.0000	0.3051	
97	0.0000	0.0000	0.0000	0.3055	
98	0.0000	0.0000	0.0000	0.3060	
99	0.0000	0.0000	0.0000	0.3066	
100	0.0000	0.0000	0.0000	0.3073	
101	0.0000	0.0000	0.0000	0.3081	
102	0.0000	0.0000	0.0000	0.3089	
103	0.0000	0.0000	0.0000	0.3099	
104	0.0000	0.0000	0.0000	0.3109	
105	0.0000	0.0000	0.0000	0.3120	
106	0.0000	0.0000	0.0000	0.3132	
107	0.0000	0.0000	0.0000	0.3145	
108	0.0000	0.0000	0.0000	0.3159	
109	0.0000	0.0000	0.0000	0.3173	
110	0.0000	0.0000	0.0000	0.3187	
111	0.0000	0.0000	0.0000	0.3203	
112	0.0000	0.0000	0.0000	0.3219	
113	0.0000	0.0000	0.0000	0.3235	
114	0.0000	0.0000	0.0000	0.3252	
115	0.0000	0.0000	0.0000	0.3269	
116	0.0000	0.0000	0.0000	0.3287	
117	0.0000	0.0000	0.0000	0.3305	
118	0.0000	0.0000	0.0000	0.3323	
119	0.0000	0.0000	0.0000	0.3341	
120	0.0000	0.0000	0.0000	0.3360	
121	0.0000	0.0000	0.0000	0.3379	
122	0.0000	0.0000	0.0000	0.3397	
123	0.0000	0.0000	0.0000	0.3416	
124	0.0000	0.0000	0.0000	0.3435	
125	0.0000	0.0000	0.0000	0.3453	
126	0.0000	0.0000	0.0000	0.3472	
127	0.0000	0.0000	0.0000	0.3490	
128	0.0000	0.0000	0.0000	0.3508	
129	0.0000	0.0000	0.0000	0.3526	
130	0.0000	0.0000	0.0000	0.3544	
131	0.0000	0.0000	0.0000	0.3562	
132	0.0000	0.0000	0.0000	0.3579	
133	0.0000	0.0000	0.0000	0.3596	
134	0.0000	0.0000	0.0000	0.3613	
135	0.0000	0.0000	0.0000	0.3630	
136	0.0000	0.0000	0.0000	0.3646	
137	0.0000	0.0000	0.0000	0.3662	
138	0.0000	0.0000	0.0000	0.3677	
139	0.0000	0.0000	0.0000	0.3692	
140	0.0000	0.0000	0.0000	0.3707	
141	0.0000	0.0000	0.0000	0.3722	
142	0.0000	0.0000	0.0000	0.3736	
143	0.0000	0.0000	0.0000	0.3749	
144	0.0000	0.0000	0.0000	0.3763	
145	0.0000	0.0000	0.0000	0.3776	
146	0.0000	0.0000	0.0000	0.3788	
147	0.0000	0.0000	0.0000	0.3801	
148	0.0000	0.0000	0.0000	0.3812	
149	0.0000	0.0000	0.0000	0.3824	
150	0.0000	0.0000	0.0000	0.3835	
151	0.0000	0.0000	0.0000	0.3846	
152	0.0000	0.0000	0.0000	0.3856	
153	0.0000	0.0000	0.0000	0.3866	
154	0.0000	0.0000	0.0000	0.3876	
155	0.0000	0.0000	0.0000	0.3885	
156	0.0000	0.0000	0.0000	0.3894	
157	0.0000	0.0000	0.0000	0.3903	
158	0.0000	0.0000	0.0000	0.3911	
