T/1	Light/1	Pupil/3			
0	0.0000	0.0000	0.0000	0.0000	
1	0.5000	0.0000	0.0000	0.0200	
2	1.5000	0.0000	0.0000	0.0380	
3	1.5000	0.0000	0.0000	0.0542	
4	1.5000	0.0000	0.0000	0.0688	
5	1.5000	0.0000	0.0000	0.0819	
6	1.5000	0.0000	0.0000	0.0937	
7	1.5000	0.0000	0.0000	0.1043	
8	1.5000	0.0000	0.0000	0.1139	
9	1.5000	0.0000	0.0000	0.1225	
10	1.5000	0.0000	0.0000	0.1303	
11	1.5000	0.0000	0.0000	0.1372	
12	1.5000	0.0000	0.0000	0.1435	
13	1.5000	0.0000	0.0000	0.1492	
14	1.5000	0.0000	0.0000	0.1542	
15	1.5000	0.0000	0.0000	0.1596	
16	1.5000	0.0000	0.0000	0.1658	
17	1.5000	0.0000	0.0000	0.1732	
18	1.5000	0.0000	0.0000	0.1820	
19	1.5000	0.0000	0.0000	0.1921	
20	1.5000	0.0000	0.0000	0.2034	
21	1.5000	0.0000	0.0000	0.2157	
22	1.5000	0.0000	0.0000	0.2288	
23	1.5000	0.0000	0.0000	0.2422	
24	1.5000	0.0000	0.0000	0.2558	
25	1.5000	0.0000	0.0000	0.2693	
26	1.5000	0.0000	0.0000	0.2825	
27	1.5000	0.0000	0.0000	0.2950	
28	1.5000	0.0000	0.0000	0.3068	
29	1.5000	0.0000	0.0000	0.3177	
30	1.5000	0.0000	0.0000	0.3275	
31	1.5000	0.0000	0.0000	0.3363	
32	1.5000	0.0000	0.0000	0.3440	
33	1.5000	0.0000	0.0000	0.3505	
34	1.5000	0.0000	0.0000	0.3558	
35	1.5000	0.0000	0.0000	0.3601	
36	1.5000	0.0000	0.0000	0.3633	
37	1.5000	0.0000	0.0000	0.3655	
38	1.5000	0.0000	0.0000	0.3668	
39	1.5000	0.0000	0.0000	0.3673	
40	1.5000	0.0000	0.0000	0.3669	
41	1.5000	0.0000	0.0000	0.3659	
42	1.5000	0.0000	0.0000	0.3643	
43	1.5000	0.0000	0.0000	0.3622	
44	1.5000	0.0000	0.0000	0.3596	
45	1.5000	0.0000	0.0000	0.3567	
46	1.5000	0.0000	0.0000	0.3535	
47	1.5000	0.0000	0.0000	0.3501	
48	1.5000	0.0000	0.0000	0.3465	
49	1.5000	0.0000	0.0000	0.3428	
50	1.5000	0.0000	0.0000	0.3390	
51	1.5000	0.0000	0.0000	0.3352	
52	1.5000	0.0000	0.0000	0.3314	
53	1.5000	0.0000	0.0000	0.3276	
54	1.5000	0.0000	0.0000	0.3239	
55	1.5000	0.0000	0.0000	0.3202	
56	1.5000	0.0000	0.0000	0.3166	
57	1.5000	0.0000	0.0000	0.3131	
58	1.5000	0.0000	0.0000	0.3097	
59	1.5000	0.0000	0.0000	0.3064	
60	1.5000	0.0000	0.0000	0.3033	
61	1.5000	0.0000	0.0000	0.3002	
62	0.5000	0.0000	0.0000	0.2973	
63	0.5000	0.0000	0.0000	0.2945	
64	0.5000	0.0000	0.0000	0.2919	
65	0.5000	0.0000	0.0000	0.2894	
66	0.5000	0.0000	0.0000	0.2870	
67	0.5000	0.0000	0.0000	0.2847	
68	0.5000	0.0000	0.0000	0.2825	
69	0.5000	0.0000	0.0000	0.2805	
70	0.5000	0.0000	0.0000	0.2786	
71	0.5000	0.0000	0.0000	0.2768	
72	0.5000	0.0000	0.0000	0.2750	
73	0.5000	0.0000	0.0000	0.2734	
74	0.5000	0.0000	0.0000	0.2719	
75	0.5000	0.0000	0.0000	0.2705	
76	0.5000	0.0000	0.0000	0.2692	
77	0.5000	0.0000	0.0000	0.2679	
78	0.5000	0.0000	0.0000	0.2667	
79	0.5000	0.0000	0.0000	0.2656	
80	0.5000	0.0000	0.0000	0.2646	
81	0.5000	0.0000	0.0000	0.2637	
82	0.5000	0.0000	0.0000	0.2628	
83	0.5000	0.0000	0.0000	0.2619	
84	0.5000	0.0000	0.0000	0.2612	
85	0.4879	0.0000	0.0000	0.2604	
86	0.4333	0.0000	0.0000	0.2597	
87	0.3970	0.0000	0.0000	0.2591	
88	0.2818	0.0000	0.0000	0.2585	
89	0.2030	0.0000	0.0000	0.2580	
90	0.0576	0.0000	0.0000	0.2575	
91	0.0000	0.0000	0.0000	0.2570	
92	0.0000	0.0000	0.0000	0.2566	
93	0.0000	0.0000	0.0000	0.2563	
94	0.0000	0.0000	0.0000	0.2560	
95	0.0000	0.0000	0.0000	0.2558	
96	0.0000	0.0000	0.0000	0.2558	
97	0.0000	0.0000	0.0000	0.2558	
98	0.0000	0.0000	0.0000	0.2559	
99	0.0000	0.0000	0.0000	0.2561	
100	0.0000	0.0000	0.0000	0.2564	
101	0.0000	0.0000	0.0000	0.2569	
102	0.0000	0.0000	0.0000	0.2574	
103	0.0000	0.0000	0.0000	0.2581	
104	0.0000	0.0000	0.0000	0.2590	
105	0.0000	0.0000	0.0000	0.2600	
106	0.0000	0.0000	0.0000	0.2611	
107	0.0000	0.0000	0.0000	0.2624	
108	0.0000	0.0000	0.0000	0.2638	
109	0.0000	0.0000	0.0000	0.2654	
110	0.0000	0.0000	0.0000	0.2673	
111	0.0000	0.0000	0.0000	0.2693	
112	0.0000	0.0000	0.0000	0.2716	
113	0.0000	0.0000	0.0000	0.2741	
114	0.0000	0.0000	0.0000	0.2769	
115	0.0000	0.0000	0.0000	0.2800	
116	0.0000	0.0000	0.0000	0.2833	
117	0.0000	0.0000	0.0000	0.2868	
118	0.0000	0.0000	0.0000	0.2907	
119	0.0000	0.0000	0.0000	0.2948	
120	0.0000	0.0000	0.0000	0.2992	
121	0.0000	0.0000	0.0000	0.3039	
122	0.0000	0.0000	0.0000	0.3089	
123	0.0000	0.0000	0.0000	0.3141	
124	0.0000	0.0000	0.0000	0.3196	
125	0.0000	0.0000	0.0000	0.3253	
126	0.0000	0.0000	0.0000	0.3313	
127	0.0000	0.0000	0.0000	0.3375	
128	0.0000	0.0000	0.0000	0.3440	
129	0.0000	0.0000	0.0000	0.3506	
130	0.0000	0.0000	0.0000	0.3575	
131	0.0000	0.0000	0.0000	0.3645	
132	0.0000	0.0000	0.0000	0.3717	
133	0.0000	0.0000	0.0000	0.3791	
134	0.0000	0.0000	0.0000	0.3866	
135	0.0000	0.0000	0.0000	0.3942	
136	0.0000	0.0000	0.0000	0.4019	
137	0.0000	0.0000	0.0000	0.4097	
138	0.0000	0.0000	0.0000	0.4176	
139	0.0000	0.0000	0.0000	0.4255	
140	0.0000	0.0000	0.0000	0.4335	
141	0.0000	0.0000	0.0000	0.4414	
142	0.0000	0.0000	0.0000	0.4494	
143	0.0000	0.0000	0.0000	0.4574	
144	0.0000	0.0000	0.0000	0.4654	
145	0.0000	0.0000	0.0000	0.4733	
146	0.0000	0.0000	0.0000	0.4812	
147	0.0000	0.0000	0.0000	0.4890	
148	0.0000	0.0000	0.0000	0.4967	
149	0.0000	0.0000	0.0000	0.5044	
150	0.0000	0.0000	0.0000	0.5119	
151	0.0000	0.0000	0.0000	0.5194	
152	0.0000	0.0000	0.0000	0.5267	
153	0.0000	0.0000	0.0000	0.5339	
154	0.0000	0.0000	0.0000	0.5410	
155	0.0000	0.0000	0.0000	0.5479	
156	0.0000	0.0000	0.0000	0.5547	
157	0.0000	0.0000	0.0000	0.5614	
158	0.0000	0.0000	0.0000	0.5679	
