T/1	Light/1	Pupil/3			
0	0.0000	0.0000	0.0000	0.0000	
1	0.5000	0.0000	0.0000	0.0200	
2	1.5000	0.0000	0.0000	0.0380	
3	1.5000	0.0000	0.0000	0.0542	
4	1.5000	0.0000	0.0000	0.0688	
5	1.5000	0.0000	0.0000	0.0819	
6	1.5000	0.0000	0.0000	0.0937	
7	1.5000	0.0000	0.0000	0.1043	
8	1.5000	0.0000	0.0000	0.1139	
9	1.5000	0.0000	0.0000	0.1225	
10	1.5000	0.0000	0.0000	0.1303	
11	1.5000	0.0000	0.0000	0.1372	
12	1.5000	0.0000	0.0000	0.1435	
13	1.5000	0.0000	0.0000	0.1492	
14	1.5000	0.0000	0.0000	0.1542	
15	1.5000	0.0000	0.0000	0.1596	
16	1.5000	0.0000	0.0000	0.1658	
17	1.5000	0.0000	0.0000	0.1732	
18	1.5000	0.0000	0.0000	0.1820	
19	1.5000	0.0000	0.0000	0.1921	
20	1.5000	0.0000	0.0000	0.2034	
21	1.5000	0.0000	0.0000	0.2157	
22	0.5000	0.0000	0.0000	0.2288	
23	0.5000	0.0000	0.0000	0.2422	
24	0.5000	0.0000	0.0000	0.2558	
25	0.5000	0.0000	0.0000	0.2693	
26	0.5000	0.0000	0.0000	0.2825	
27	0.5000	0.0000	0.0000	0.2950	
28	0.5000	0.0000	0.0000	0.3068	
29	0.5000	0.0000	0.0000	0.3177	
30	0.5000	0.0000	0.0000	0.3275	
31	0.5000	0.0000	0.0000	0.3363	
32	0.5000	0.0000	0.0000	0.3440	
33	0.5000	0.0000	0.0000	0.3505	
34	0.5000	0.0000	0.0000	0.3558	
35	0.5000	0.0000	0.0000	0.3601	
36	0.5000	0.0000	0.0000	0.3633	
37	0.5000	0.0000	0.0000	0.3655	
38	0.5000	0.0000	0.0000	0.3668	
39	0.5000	0.0000	0.0000	0.3673	
40	0.5000	0.0000	0.0000	0.3671	
41	0.5000	0.0000	0.0000	0.3662	
42	0.5000	0.0000	0.0000	0.3648	
43	0.5000	0.0000	0.0000	0.3630	
44	0.5000	0.0000	0.0000	0.3609	
45	0.5000	0.0000	0.0000	0.3585	
46	0.5000	0.0000	0.0000	0.3560	
47	0.5000	0.0000	0.0000	0.3533	
48	0.5000	0.0000	0.0000	0.3506	
49	0.5000	0.0000	0.0000	0.3479	
50	0.5000	0.0000	0.0000	0.3452	
51	0.5000	0.0000	0.0000	0.3426	
52	0.5000	0.0000	0.0000	0.3401	
53	0.5000	0.0000	0.0000	0.3378	
54	0.5000	0.0000	0.0000	0.3355	
55	0.5000	0.0000	0.0000	0.3335	
56	0.5000	0.0000	0.0000	0.3316	
57	0.5000	0.0000	0.0000	0.3299	
58	0.5000	0.0000	0.0000	0.3284	
59	0.5000	0.0000	0.0000	0.3271	
60	0.5000	0.0000	0.0000	0.3260	
61	0.5000	0.0000	0.0000	0.3251	
62	0.5000	0.0000	0.0000	0.3243	
63	0.5000	0.0000	0.0000	0.3237	
64	0.5000	0.0000	0.0000	0.3234	
65	0.5000	0.0000	0.0000	0.3231	
66	0.5000	0.0000	0.0000	0.3231	
67	0.5000	0.0000	0.0000	0.3232	
68	0.5000	0.0000	0.0000	0.3235	
69	0.5000	0.0000	0.0000	0.3238	
70	0.5000	0.0000	0.0000	0.3244	
71	0.5000	0.0000	0.0000	0.3250	
72	0.5000	0.0000	0.0000	0.3258	
73	0.5000	0.0000	0.0000	0.3266	
74	0.5000	0.0000	0.0000	0.3276	
75	0.5000	0.0000	0.0000	0.3286	
76	0.5000	0.0000	0.0000	0.3297	
77	0.5000	0.0000	0.0000	0.3309	
78	0.5000	0.0000	0.0000	0.3322	
79	0.5000	0.0000	0.0000	0.3335	
80	0.5000	0.0000	0.0000	0.3349	
81	0.5000	0.0000	0.0000	0.3363	
82	0.5000	0.0000	0.0000	0.3377	
83	0.5000	0.0000	0.0000	0.3392	
84	0.5000	0.0000	0.0000	0.3407	
85	0.5000	0.0000	0.0000	0.3422	
86	0.5000	0.0000	0.0000	0.3437	
87	0.5000	0.0000	0.0000	0.3453	
88	0.5000	0.0000	0.0000	0.3468	
89	0.5000	0.0000	0.0000	0.3483	
90	0.5000	0.0000	0.0000	0.3499	
91	0.5000	0.0000	0.0000	0.3514	
92	0.5000	0.0000	0.0000	0.3529	
93	0.5000	0.0000	0.0000	0.3544	
94	0.5000	0.0000	0.0000	0.3559	
95	0.5000	0.0000	0.0000	0.3574	
96	0.5000	0.0000	0.0000	0.3588	
97	0.5000	0.0000	0.0000	0.3603	
98	0.5000	0.0000	0.0000	0.3617	
99	0.5000	0.0000	0.0000	0.3630	
100	0.5000	0.0000	0.0000	0.3644	
101	0.5000	0.0000	0.0000	0.3657	
102	0.5000	0.0000	0.0000	0.3670	
103	0.5000	0.0000	0.0000	0.3683	
104	0.5000	0.0000	0.0000	0.3695	
105	0.5000	0.0000	0.0000	0.3707	
106	0.5000	0.0000	0.0000	0.3719	
107	0.5000	0.0000	0.0000	0.3730	
108	0.5000	0.0000	0.0000	0.3741	
109	0.5000	0.0000	0.0000	0.3752	
110	0.5000	0.0000	0.0000	0.3762	
111	0.5000	0.0000	0.0000	0.3773	
112	0.5000	0.0000	0.0000	0.3782	
113	0.5000	0.0000	0.0000	0.3792	
114	0.5000	0.0000	0.0000	0.3801	
115	0.5000	0.0000	0.0000	0.3810	
116	0.5000	0.0000	0.0000	0.3819	
117	0.5000	0.0000	0.0000	0.3827	
118	0.5000	0.0000	0.0000	0.3835	
119	0.5000	0.0000	0.0000	0.3843	
120	0.5000	0.0000	0.0000	0.3850	
121	0.5000	0.0000	0.0000	0.3857	
122	0.5000	0.0000	0.0000	0.3864	
123	0.5000	0.0000	0.0000	0.3871	
124	0.5000	0.0000	0.0000	0.3877	
125	0.5000	0.0000	0.0000	0.3883	
126	0.5000	0.0000	0.0000	0.3889	
127	0.5000	0.0000	0.0000	0.3895	
128	0.5000	0.0000	0.0000	0.3901	
129	0.5000	0.0000	0.0000	0.3906	
130	0.5000	0.0000	0.0000	0.3911	
131	0.5000	0.0000	0.0000	0.3916	
132	0.5000	0.0000	0.0000	0.3920	
133	0.4818	0.0000	0.0000	0.3925	
134	0.4394	0.0000	0.0000	0.3929	
135	0.4273	0.0000	0.0000	0.3933	
136	0.3667	0.0000	0.0000	0.3937	
137	0.3121	0.0000	0.0000	0.3941	
138	0.2515	0.0000	0.0000	0.3944	
139	0.1848	0.0000	0.0000	0.3948	
140	0.1121	0.0000	0.0000	0.3951	
141	0.0515	0.0000	0.0000	0.3954	
142	0.0000	0.0000	0.0000	0.3957	
143	0.0000	0.0000	0.0000	0.3960	
144	0.0000	0.0000	0.0000	0.3963	
145	0.0000	0.0000	0.0000	0.3966	
146	0.0000	0.0000	0.0000	0.3968	
147	0.0000	0.0000	0.0000	0.3971	
148	0.0000	0.0000	0.0000	0.3973	
149	0.0000	0.0000	0.0000	0.3975	
150	0.0000	0.0000	0.0000	0.3977	
151	0.0000	0.0000	0.0000	0.3979	
152	0.0000	0.0000	0.0000	0.3981	
153	0.0000	0.0000	0.0000	0.3984	
154	0.0000	0.0000	0.0000	0.3986	
155	0.0000	0.0000	0.0000	0.3989	
156	0.0000	0.0000	0.0000	0.3992	
157	0.0000	0.0000	0.0000	0.3996	
158	0.0000	0.0000	0.0000	0.4001	
